392	Cook & Chimonides, 1981b	Morphology and systematics... rooted cheilostome B		
393	Cook & Chimonides, 1994a	Notes on the genus Anoteropora		
394	Cook & Chimonides, 1994b	Notes on the family Cupuladriidae		
395	Cheetham, 1962	Eocene Bryozoa from the McBean formation in Georgi		
396	Canu & Bassler, 1917	A synopsis of American Early Tertiary Bryozoa		
397	Canu & Bassler, 1935	New species of Tertiary cheilostome...Victoria, Au		
398	Cheetham, 1963	Late Eocene Zoogeography of the Gulf Coast		
399	Dumont, 1981	A report on the cheilostome ...Sudanese Red Sea		
400	Harmelin, 1979	On some stomatoporiform species ... NE Atlantic		
401	Illies, 1979	The budding pattern of Stomatopora gracilis		
402	Cadee, 1979	The Cupuladria canariensis complex		
403	Morris, 1979	Pacific Coast Celleporina		
404	Cuffey & Drexler, 1979	Castle Hayne hornerid cyclostomes		
405	Turner, 1979	North American Cretaceous Tricephaloporinae		
406	Voigt, 1979	The preservation of slightly or non-calcified foss		
407	Ryland, 1979	Celleporella carolinensis sp.nov.		
408	Pitt & Taylor, 1990	Cretaceous Bryozoa from the Faringdon Sponge Gravel		
409	Cheetham, 1966	Bracklesham Beds		
410	David & Pouyet, 1986	Bryozoaires abyssaux des campagnes Safari		
411	Bishop & Hayward, 1989	SEM Atlas of type and figured material ...		
412	Redier, 1969	Resultats scientifiques.. de la Calypso		
413	Canu & Bassler, 1928c	Bryozoaires du Bresil		
414	Canu & Bassler, 1925	Les Bryozoaires du Maroc et de Mauritanie 1		
415	Canu & Bassler, 1928d	Les Bryozoaires du Maroc et de Mauritanie 2		
416	Meunier & Pergens, 1886	Les Bryozoaires du Systeme Montien		
417	Cheetham & Sandberg, 1964	Quaternary Bryozoa from Louisiana mudlumps		
418	Redier, 1965	Expeditions Antarctiques Belges 1959-1960		
419	Redier, 1971	Recherches sur la faune ...d'Abidjan		
420	Waters, 1899	Bryozoa from Madeira		
421	Taylor & Cook, 1981	Hippoporidra edax (Busk 1859)...		
422	Balson & Taylor, 1982	Palaeobiology and systematics of large cyclostome		
423	Waters, 1918a	Some collections...Cape Verde Islands		
424	Cadee, 1975	Lunulitiform Bryozoa from the Guyana Shelf		
