SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
173	Rhynchozoon bifurcum	Harmer, 1957	274	1	ZR1958	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_bifurcum.html	1	\N	PHIDOLOPORIDAE
20033	Rhynchozoon attina	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_attina.html	1	\N	PHIDOLOPORIDAE
172	Rhynchozoon ardeolum	Ryland & Hayward, 1992	274	1	ZR1992/93-085	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_ardeolum.html	1	\N	PHIDOLOPORIDAE
20036	Rhynchozoon adamanteus	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Rhynchozoon	bryozoa.net/cheilostomata/phidoloporidae/rhynchozoon_adamanteus.html	1	\N	PHIDOLOPORIDAE
11843	Reteporellina babelensis	(Chapman, 1941)	274	1	ZR1942	\N	2010-05-23	Reteporellina	bryozoa.net/cheilostomata/phidoloporidae/reteporellina_babelensis.html	1	\N	PHIDOLOPORIDAE
169	Reteporella graeffei	(Kirchenpauer, 1869)	274	1	\N	\N	2010-05-23	Reteporella	bryozoa.net/cheilostomata/phidoloporidae/retegra.html	1	\N	PHIDOLOPORIDAE
217	Reteporellina denticulata	(Busk, 1884)	274	1	\N	\N	2010-05-23	Reteporellina	bryozoa.net/cheilostomata/phidoloporidae/reteden.html	1	\N	PHIDOLOPORIDAE
216	Plesiocleidochasma normani	(Livingstone, 1926)	274	1	ZR1926	\N	2010-05-23	Plesiocleidochasma	bryozoa.net/cheilostomata/phidoloporidae/plesnor.html	1	\N	PHIDOLOPORIDAE
20032	Plesiocleidochasma septemspinosa	Tilbrook, 2006	274	1	\N	\N	2010-05-23	Plesiocleidochasma	bryozoa.net/cheilostomata/phidoloporidae/plesiocleidochasma_septemspinosa.html	1	\N	PHIDOLOPORIDAE
1711	Plesiocleidochasma laterale	(Harmer, 1957)	274	1	ZR1958 as Cleidochasma	\N	2010-05-23	Plesiocleidochasma	bryozoa.net/cheilostomata/phidoloporidae/plesiocleidochasma_laterale.html	1	\N	PHIDOLOPORIDAE
2768	Metacleidochasma planulata&	(Canu & Bassler, 1929)	274	1	ZR1929; Gordon & d'Hondt, 1997	\N	2010-05-23	Metacleidochasma	bryozoa.net/cheilostomata/phidoloporidae/metacleidochasma_planulata.html	1	\N	PHIDOLOPORIDAE
1837	Lifuella porelliformis	(Kirkpatrick, 1888)	262	1	\N	\N	2010-05-23	Lifuella	bryozoa.net/cheilostomata/phidoloporidae/lifuella_porelliformis.html	1	\N	HIPPOPORIDRIDAE
1743	Lifuella multidentata	(Thornely, 1905)	262	1	ZR1997/98-052	\N	2010-05-23	Lifuella	bryozoa.net/cheilostomata/phidoloporidae/lifuella_multidentata.html	1	\N	HIPPOPORIDRIDAE
1518	Iodictyum willeyi	Harmer, 1934	274	1	ZR1934	\N	2010-05-23	Iodictyum	bryozoa.net/cheilostomata/phidoloporidae/iodiwil.html	1	\N	PHIDOLOPORIDAE
218	Iodictyum mamillatum	Hayward & Ryland, 1995	274	1	ZR1995/96-045	\N	2010-05-23	Iodictyum	bryozoa.net/cheilostomata/phidoloporidae/iodictyum_mamillatum.html	1	\N	PHIDOLOPORIDAE
17856	Iodictyum atriarium	Hayward, 2004	274	1	\N	\N	2010-05-23	Iodictyum	bryozoa.net/cheilostomata/phidoloporidae/iodictyum_atriarium.html	1	\N	PHIDOLOPORIDAE
1744	Fodinella spinigera	(Philipps, 1900)	262	1	not=H.porelliformis, see Tilbrook et al 2001	\N	2010-05-23	Fodinella	bryozoa.net/cheilostomata/phidoloporidae/fodispi.html	1	\N	HIPPOPORIDRIDAE
158	Sinupetraliella litoralis	(Hastings, 1932)	228	1	ZR1932; ZR1936	\N	2010-05-23	Sinupetraliella	bryozoa.net/cheilostomata/petraliellidae/sinulit.html	1	\N	PETRALIELLIDAE
1563	Petraliella magna	(d'Orbigny, 1852)	228	1	\N	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_magna.html	1	\N	PETRALIELLIDAE
1562	Petraliella dorsiporosa	(Busk, 1884)	228	1	ZR1936	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_dorsiporosa.html	1	\N	PETRALIELLIDAE
12357	Petraliella dentilabris	(Ortmann, 1892)	1020	1	ZR1935	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_dentilabris.html	1	\N	Unplaced Cheil 20
1564	Petraliella crassocirca	(Canu & Bassler, 1929)	228	1	ZR1929	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_crassocirca.html	1	\N	PETRALIELLIDAE
