SpeciesID	Current_name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	html_page	first_name	OK	Status
17656	Enallopora ulrichi	(Bassler, 1911)	513	0	as Protocrisina		23/05/2010		Enallopora	1	
6632	 was Ensiphragma mirabilis	Astrova, 1968	404	0	not in ZR? or is it Ensipora, ZR1991/92-105		23/05/2010		was	0	
16958	 was Entalophora anomala -9054	(Reuss, 1848)	39	0	 now=proboscidea		23/05/2010		was	0	
14187	 was Entalophora benedeniana	(von Hagenow, 1851)	39	0			23/05/2010		was	0	
7586	 was Entalophora brunsviciensis=4924	Hillmer, 1971	39	0	ZR1974-053		23/05/2010		was	0	
7587	 was Entalophora canaliculata=4925	Hillmer, 1971	39	0	ZR1974-053		23/05/2010		was	0	
15147	 was Entalophora haimeana=15160	d'Orbigny, 1851	39	0			23/05/2010		was	0	
10008	 was Entalophora iranensis	Furon & Balavoine, 1960	39	0	ZR1960		23/05/2010		was	0	
13098	 was Entalophora proboscidea	(Milne-Edwards, 1838)	39	0			23/05/2010		was	0	
13099	 was Entalophora pulchella	(Reuss, 1848)	39	0			23/05/2010		was	0	
10010	 was Entalophora watersi=5057	O'Donoghue & de Watteville, 1939	39	1	ZR1960		23/05/2010		was	0	
5062	 was Entalophoroecia gracilis	Harmelin, 1976	7	1	ZR1977		23/05/2010		was	0	
4774	 was Eoheteropora katzi	Morozova, 1984	44	0	ZR1985-089; =E.maorica; not bryozoan (Schafer & Grant-Mackie)		23/05/2010		was	0	
9401	Eostenopora primiformis	Duncan, 1939	562	0	ZR1945; ZR1960		23/05/2010		Eostenopora	1	
10758	 was Eostenopora? villosa	Duncan, 1939	562	0	ZR1945		23/05/2010		was	0	
9000	 was Eridopora major	Bassler, 1929	604	0	Now Eridopora parasitica, Sakagami, 2000		23/05/2010		was	0	
11511	 was Eridotrypella brevis	Duncan, 1939	562	0	ZR1945; ZR1960		23/05/2010		was	0	
13188	 was Eridotrypella invisitata=7137	Pushkin, 1976	562	0			23/05/2010		was	0	
10040	 was Eridotrypella minuta&	Morozova, 1961	562	0	ZR1960; ZR1969		23/05/2010		was	0	
3020	 was Escharella hexaespinosa	Aristegui, 1986	218	1	ZR1992/93		23/05/2010		was	0	
14100	 was Escharella indivisa=1920	Levinsen, 1916	218	1			23/05/2010		was	0	
10492	 was Escharella ventricosa peristomata=641	Kluge, 1962	370	1	now E.klugei Hayward 1979		23/05/2010		was	0	
5122	 was Escharina longispinata=948	(Busk, 1884)	325	1			23/05/2010		was	0	
7896	 was Escharoides carbonneli=13171	David & Pouyet, 1972	158	0	ZR1972-027		23/05/2010		was	0	
15940	 was Escharoides costatula=11393	(Duvergier, 1921)	158	0	ZR1922, as Peristomella (costatula typo)		23/05/2010		was	0	
2166	 was Exidmonea atlantica	Mongereau, 1972	6	0	see Taylor & Voigt 1992		23/05/2010		was	0	
13945	 was Exidmonea californica=3118	(d'Orbigny, 1852)	6	0	see Voigt & Taylor 1992		23/05/2010		was	0	
14531	 was Exochella eleanorae=12222	(Brydone, 1936)	218	0			2/06/2010		was	0	Duplicate
7623	 was Fabifenestella binodosa&=7141	(Shcherbatykh, 1970)	501	0	not in ZR; ZR1974-086		23/05/2010		was	0	
7624	 was Fabifenestella fabalis	(Shishova, 19??)	501	0	ZR1974-086		23/05/2010		was	0	
7626	 was Fabifenestella khozhainovi=7626	(Shcherbatykh, 1970)	501	0	not in ZR; ZR1974-086		23/05/2010		was	0	
15984	 was Farciminaria andamanensis=1483	Robertson, 1921	186	1	ZR1921		23/05/2010		was	0	
