rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Family	Family Duvergieriidae			Superfamily Schizoporelloidea	valid
Family	Family Dysnoetoporidae			Superfamily Dysnoetoporoidea	valid
Family	Family Echinovadomidae			Superfamily Schizoporelloidea	valid
Family	Family Electridae			Superfamily Membraniporoidea	valid
Family	Family Eminooeciidae			Superfamily Schizoporelloidea	valid
Family	Family Epistomiidae			Superfamily Buguloidea	valid
Family	Family Escharinidae			Superfamily Schizoporelloidea	valid
Family	Family Eucrateidae			Superfamily Scruparioidea	valid
Family	Family Euoplozoidae			Superfamily Buguloidea	valid
Family	Family Eurystomellidae			Superfamily Catenicelloidea	valid
Family	Family Euthyroididae			Superfamily Cribrilinoidea	valid
Family	Family Exechonellidae			Superfamily Arachnopusioidea	valid
Family	Family Farciminariidae			Superfamily Calloporoidea	valid
Family	Family Flustridae			Superfamily Flustroidea	valid
Family	Family Foveolariidae			Superfamily Calloporoidea	valid
Family	Family Fusicellariidae			Suborder Neocheilostomina	valid
Family	Family Gigantoporidae			Superfamily Schizoporelloidea	valid
Family	Family Haplopomidae			Superfamily Hippothooidea	valid
Family	Family Heliodomidae			Superfamily Calloporoidea	valid
Family	Family Hiantoporidae			Superfamily Calloporoidea	valid
Family	Family Hincksiporidae			Superfamily Lepralielloidea	valid
Family	Family Hippaliosinidae			Superfamily Schizoporelloidea	valid
Family	Family Hippopodinidae			Superfamily Schizoporelloidea	valid
Family	Family Hippoporidridae			Superfamily Celleporoidea	valid
Family	Family Hippothoidae			Superfamily Hippothooidea	valid
Family	Family Inversiulidae			Superfamily Adeonoidea	valid
Family	Family Jaculinidae			Superfamily Schizoporelloidea	valid
Family	Family Jubellidae			Superfamily Buguloidea	valid
Family	Family Lacernidae			Superfamily Schizoporelloidea	valid
Family	Family Lanceoporidae			Superfamily Schizoporelloidea	valid
Family	Family Leiosalpingidae			Superfamily Scruparioidea	valid
Family	Family Lekythoglenidae			Superfamily Cribrilinoidea	valid
Family	Family Lekythoporidae			Superfamily Conescharellinoidea	valid
Family	Family Lepraliellidae			Superfamily Lepralielloidea	valid
Family	Family Lunulariidae			Superfamily Microporoidea	valid
Family	Family Lunulitidae			Superfamily Microporoidea	valid
Family	Family Macroporidae			Superfamily Microporoidea	valid
Family	Family Mamilloporidae			Superfamily Mamilloporoidea	valid
Family	Family Margarettidae			Superfamily Schizoporelloidea	valid
Family	Family Mawatariidae			Superfamily Schizoporelloidea	valid
Family	Family Membranicellariidae			Superfamily Cellarioidea	valid
Family	Family Membraniporidae			Superfamily Membraniporoidea	valid
Family	Family Metrarabdotosidae			Superfamily Lepralielloidea	valid
Family	Family Microporellidae			Superfamily Schizoporelloidea	valid
Family	Family Microporidae			Superfamily Microporoidea	valid
Family	Family Mixtopeltidae			Superfamily Bifaxarioidea	valid
Family	Family Monoporellidae			Superfamily Microporoidea	valid
Family	Family Myriaporidae			Superfamily Schizoporelloidea	valid
Family	Family Neoeuthyridae			Superfamily Euthyriselloidea	valid
Family	Family Nephroporidae			Superfamily Scorioporoidea	valid
Family	Family Onychocellidae			Superfamily Microporoidea	valid
Family	Family Orbituliporidae			Superfamily Conescharellinoidea	valid
Family	Family Otionellidae			Superfamily Microporoidea	valid
Family	Family Pacificincolidae			Superfamily Schizoporelloidea	valid
Family	Family Pasytheidae			Superfamily Hippothooidea	valid
Family	Family Petalostegidae			Superfamily Catenicelloidea	valid
Family	Family Petraliellidae			Superfamily Schizoporelloidea	valid
Family	Family Petraliidae			Superfamily Schizoporelloidea	valid
Family	Family Phidoloporidae			Superfamily Celleporoidea	valid
Family	Family Phoceanidae			Superfamily Schizoporelloidea	valid
Family	Family Phorioppniidae			Superfamily Schizoporelloidea	valid
Family	Family Platyglenidae			Superfamily Bifaxarioidea	valid
Family	Family Polliciporidae			Superfamily Cribrilinoidea	valid
Family	Family Poricellariidae			Superfamily Microporoidea	valid
Family	Family Porinidae			Superfamily Schizoporelloidea	valid
Family	Family Prostomariidae			Superfamily Urceoliporoidea	valid
