rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Genus	Batrachopora			Cribrilinidae	valid
Genus	Beania			Beaniidae	valid
Genus	Beisselina			Tessaradomidae	valid
Genus	Beisselinopsis			Scorioporidae	valid
Genus	Bellulopora			Belluloporidae	valid
Genus	Berthelsenia			Calloporidae	valid
Genus	Biaviculigera			Calloporidae	valid
Genus	Bicellariella			Bugulidae	valid
Genus	Bicellarina			Bugulidae	valid
Genus	Bicornifera			Bicorniferidae	valid
Genus	Bicupularia			Batoporidae	valid
Genus	Bidenkapia			Calloporidae	valid
Genus	Bifaxaria			Bifaxariidae	valid
Genus	Bifissurinella			Bicorniferidae	valid
Genus	Biflustra			Hesychoxeniidae	valid
Genus	Bimicroporella			Didymoselloidea	valid
Genus	Bipora			Conescharellinidae	valid
Genus	Biporochella			Romancheinidae	valid
Genus	Biselenaria			Cupuladriidae	valid
Genus	Bitectipora			Bitectiporidae	valid
Genus	Bobinella			Candidae	valid
