Rank ID	Class	Order	Suborder	Infraorder	Superfamily	Family	Genus
20 3	stenolaemata
20 1	gymnolaemata
20 2	phylactolaemata
20 4	NULL
20 5	NULL
20 6	NULL
20 7	NULL
20 8	NULL
20 9	NULL
20 10	NULL
20 11	NULL
20 12	NULL
20 13	NULL
20 14	NULL
20 15	NULL
20 16	NULL
30 4	stenolaemata	cyclostomata
30 7	stenolaemata	hederellida
30 2	stenolaemata	cryptostomida
30 5	stenolaemata	cystoporida
30 9	stenolaemata	trepostomatida
30 6	stenolaemata	fenestrida
30 3	gymnolaemata	ctenostomata
30 1	gymnolaemata	cheilostomata
30 8	phylactolaemata	plumatellida
30 10	NULL	NULL
30 11	NULL	NULL
30 12	NULL	NULL
30 13	NULL	NULL
30 14	NULL	NULL
30 15	NULL	NULL
30 16	NULL	NULL
30 17	NULL	NULL
30 18	NULL	NULL
30 19	NULL	NULL
30 20	NULL	NULL
30 21	NULL	NULL
30 22	NULL	NULL
70 59	stenolaemata	cryptostomida	rhabdomesina	NULL	NULL
70 60	stenolaemata	trepostomatida	NULL	NULL	NULL
70 61	stenolaemata	trepostomatida	NULL	NULL	NULL
70 62	stenolaemata	cryptostomida	rhabdomesina	NULL	NULL
70 63	stenolaemata	trepostomatida	NULL	NULL	NULL
70 64	stenolaemata	trepostomatida	NULL	NULL	NULL
70 65	stenolaemata	cystoporida	fistuliporina	NULL	NULL
70 66	stenolaemata	cyclostomata	cancellata	NULL	NULL
70 67	stenolaemata	fenestrida	NULL	NULL	NULL
70 68	stenolaemata	cyclostomata	cerioporina	NULL	NULL
70 69	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 70	stenolaemata	cystoporida	ceramoporina	NULL	NULL
70 71	stenolaemata	cyclostomata	cerioporina	NULL	NULL
70 72	stenolaemata	fenestrida	NULL	NULL	NULL
70 73	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 74	stenolaemata	cyclostomata	cerioporina	NULL	NULL
70 75	stenolaemata	cystoporida	fistuliporina	NULL	NULL
70 76	stenolaemata	cyclostomata	cerioporina	NULL	NULL
70 77	stenolaemata	cyclostomata	paleotubuliporina	NULL	NULL
70 78	stenolaemata	cyclostomata	cancellata	NULL	NULL
70 79	stenolaemata	cyclostomata	articulina	NULL	NULL
70 80	stenolaemata	cyclostomata	cancellata	NULL	NULL
70 81	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 82	stenolaemata	cyclostomata	paleotubuliporina	NULL	NULL
70 83	stenolaemata	trepostomatida	NULL	NULL	NULL
70 84	stenolaemata	trepostomatida	NULL	NULL	NULL
70 85	stenolaemata	cystoporida	fistuliporina	NULL	NULL
70 86	stenolaemata	cyclostomata	cancellata	NULL	NULL
70 87	stenolaemata	cyclostomata	cerioporina	NULL	NULL
70 88	stenolaemata	trepostomatida	NULL	NULL	NULL
70 89	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 90	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 91	stenolaemata	trepostomatida	NULL	NULL	NULL
70 92	stenolaemata	trepostomatida	NULL	NULL	NULL
70 93	stenolaemata	trepostomatida	NULL	NULL	NULL
70 94	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 95	stenolaemata	fenestrida	NULL	NULL	NULL
70 96	stenolaemata	cyclostomata	tubuliporina	NULL	NULL
70 97	stenolaemata	trepostomatida	NULL	NULL	NULL
70 98	stenolaemata	cryptostomida	ptilodictyina	NULL	NULL
70 99	stenolaemata	trepostomatida	NULL	NULL	NULL
70 100	stenolaemata	cystoporida	fistuliporina	NULL	NULL
