unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
138140	21311	incrassata	113		1928	Bock	7/3/2004	Vide Membranipora inconstantia;
138338	20834	incrassata	113		1928	Bock	7/3/2004	Nunc Crassimaginatella fide Hayward & Thorpe (1989);   Recent, Antarctic;
138922	21101	incrassata	113		1816	Bock	7/3/2004	Species typica Celleporina d'Orbigny, 1852 non Gray, 1848;   Nomen dubium fide Bassler (1934);   Nunc Siniopelta fide Mawatari (1956);   Etiam Costazia fide;   Etiam Celleporina fide d'Orbigny (1852);   Etiam Celleporaria fide Smitt (1868);   Etiam Millep
141365	30194	incrassata	113		1853	Bock	12/3/2004	Vide Cellepora incrassata;
141809	30340	incrassata	113		1853	Bock	12/3/2004	Vide Cellepora incrassata;
141933	30438	incrassata	113		1853	Bock	12/3/2004	Vide Cellepora incrassata;
141934	30438	incrassata	113		1866	Bock	12/3/2004	(PEB not in file ); Etiam Flabellaria;
142061	30469	incrassata	113		1853	Bock	12/3/2004	Vide Cellepora incrassata;
132158	21097	incrassata attenuata	113		1925	Bock	7/3/2004	Nomen nudum; 
141366	30194	incrassata erecta	113		1867	Bock	12/3/2004	Recent, no data;
141810	30340	incrassata erecta	113		1887	Bock	12/3/2004	Vide Corallina incrassata;
142062	30469	incrassata erecta	113		1867	Bock	12/3/2004	Subjective junior synonym Reptescharellina cornuta fide  Cheetham & Sandberg (1964);   Nunc Schizoporella canui fide Osburn (1940);   Nunc Schizoporella fide Osburn (1940);   Recent, Atlantic (Gulf of Mexico);
141367	30194	incrassata serpens	113		1867	Bock	12/3/2004	non Hincks, 1880; Vide Schizopodrella incrassata;
137880	20808	incrassatum	113		1882	Bock	7/3/2004	Vide Cellepora incrassata;
141870	10091	incrastata	113		1928	Bock	12/3/2004	Etiam Tubulipora fide Smitt (1867);   Etiam Proboscina fide Smitt (1867);   Recent, north Atlantic, north Pacific;
132900	20329	incrustans	113		1898	Bock	7/3/2004	Vide Filisparsa incrassata;
133038	10089	incrustans	113		1816	Bock	7/3/2004	non (Smitt, 1866); Subjective junior synonym Alecto granulata fide Busk (1875);   Recent,;   Fossil: Cretaceous, Neocomian (France);
134042	10089	incrustans	113		1884	Bock	7/3/2004	non d'Orbigny, 1853; Vide Tubulipora incrassata;
134290	21186	incrustans	113		1941	Bock	7/3/2004	Vide Filisparsa incrassata;
135615	20566	incrustans	113		1884	Bock	7/3/2004	Recent, Atlantic (Africa, Morocco);
135616	20566	incrustans	113		1898	Bock	7/3/2004	Recent, north Atlantic;
139442	20893	incrustans	113		1942	Bock	7/3/2004	Vide Tubulipora incrassata erecta;
135617	20566	incrustans grandis	113		1904	Bock	7/3/2004	Subjective junior synonym Tubulipora ventricosa fide Busk (1880);   Etiam Proboscina incrassata erecta fide Smitt (1867);   Etiam Proboscina fide Smitt (1867);   Recent, Atlantic;
137723	20792	incrustata	113		1907	Bock	7/3/2004	Recent, north Atlantic;
140964	30111	incurva	113		1879	Bock	12/3/2004	Vide Schizoporella incrassata;
138661	20848	incurvata	113		1896	Bock	7/3/2004	Recent, Pacific (Japan);
140794	10091	incurvata	113		1860	Bock	12/3/2004	Vide Membranipora incrustans;
141935	30438	incurvata	113		1859	Bock	12/3/2004	Recent, locus incognitus [de Blainville, 1834, Indian];
141956	30439	incurvata	113		1859	Bock	12/3/2004	Vide Membranipora crassimarginata incrustans;
130713	20148	indica	113		1852	Bock	7/3/2004	Vide Spiralaria incrustans;
132351	20247	indica	113		1852	Bock	7/3/2004	non Waters, 1898; Vide Membranipora crassimarginata incrustans;
132437	20257	indica	113		1965	Bock	7/3/2004	non Busk, 1884; Nunc Crassimarginatella fide Hastings (1945);   Etiam Ellisina fide Norman (1903);   Recent, South Atlantic, Pacific;   Fossil: Pliocene (New Zealand);
132796	20322	indica	113		1988	Bock	7/3/2004	Species typica Hippoflustra fide Moyano (1972);   Nunc Hippoflustra fide Moyano (1972);   Recent, Pacific (Japan);
133331	21357	indica	113		1852	Bock	7/3/2004	non Busk, 1952; Recent, Antarctic;
137427	20783	indica	113		1852	Bock	7/3/2004	Recent, Mediterranean (Straits of Gibraltar);
137439	10091	indica	113		1852	Bock	7/3/2004	(1880?); Recent, Pacific (Australia);
137602	10091	indica	113		1852	Bock	7/3/2004	Recent, Mediterranean;
139475	21336	indica	113		1880	Bock	7/3/2004	Species typica Stomatoporina Balavoine, 1958;   Nunc Stomatoporina fide Balavoine (1958);   Etiam Stomatopora fide Waters (1889);   Recent, Atlantic (Ireland, northern France);
139763	20946	indica	113		1880	Bock	7/3/2004	Vide Alecto incurvata;
141294	30170	indica	113		1853	Bock	12/3/2004	Vide Stromatopora incurvata;
141847	30350	indica	113		1853	Bock	12/3/2004	Recent, Pacific (Philippines, Basilan);
133565	20369	indigena	113		1983	Bock	7/3/2004	Vide Reptescharella indica;
131464	20873	indiscreta	113		1957	Bock	7/3/2004	Nunc Reussirella fide Cook (p.c.);   Recent, Indian Ocean (Burma);
127899	30143	indistincta	113		1929	Bock	12/3/2004	Recent, Indian Ocean (Mauritius);
139554	21312	indistincta	113		1929	Bock	7/3/2004	Recent, Indian (India);
